feature,n,num_bins,z_min,z_max,z_num_unique,uniform_bins_used,quantile_bins_used,delta_bins_used,uniform_empty_bins,quantile_empty_bins,uniform_dominant_bin_ratio,quantile_dominant_bin_ratio,delta_dominant_bin_ratio,dominant_ratio_reduction,uniform_max_bin_count,quantile_max_bin_count,uniform_entropy_norm,quantile_entropy_norm,delta_entropy_norm,quantile_duplicate_edge_count,quantile_zero_width_bin_count,quantile_zero_width_sample_ratio,quantile_width_min_positive,quantile_width_median_positive,quantile_width_max_positive,offset_min,offset_max,offset_mean
pslist.nproc,46876,256,0.0,1.0,105,105,32,-73,151,224,0.1704496970731291,0.1704496970731291,0.0,0.0,7990,7990,0.5634949111118889,0.7436995448359999,0.180204633724111,224,224,0.0,0.0045661999999999925,0.004566210000000001,0.78538813,0.0,1.0,0.008714358022781957
pslist.nppid,46876,256,0.0,1.0,48,48,14,-34,208,242,0.28150866114856216,0.28150866114856216,0.0,0.0,13196,13196,0.5190073122926573,0.7536903493386002,0.23468303704594295,242,242,0.0,0.017241369999999978,0.01724138,0.7586207,0.0,1.0,0.002527461264949323
pslist.avg_threads,46876,256,0.0,1.0,22592,256,245,-11,0,11,0.04782831299598942,0.011989077566345251,-0.03583923542964417,0.03583923542964417,2242,562,0.8757365013433522,0.9909851767523226,0.11524867540897032,11,11,0.0,4.491000000000911e-05,0.004423932226562566,0.1128216295703125,0.0,1.0,0.39077892031893857
pslist.nprocs64bit,46876,256,0.0,0.0,1,1,1,0,255,255,1.0,1.0,0.0,0.0,46876,46876,0.0,0.0,0.0,255,255,0.0,1.0,1.0,1.0,0.0,0.0,0.0
pslist.avg_handlers,46876,256,0.0,1.0,30009,256,256,0,0,0,0.025876781295332368,0.004415905794009728,-0.02146087550132264,0.02146087550132264,1213,207,0.9544050766020193,0.9999253480980645,0.045520271496045206,0,0,0.0,0.0004332199999999842,0.0053354301085937455,0.0061019147656251604,0.0,1.0,0.4852640921394214
dlllist.ndlls,46876,256,0.0,1.0,1774,256,217,-39,0,39,0.033833944875842646,0.020564894615581534,-0.013269050260261112,0.013269050260261112,1586,964,0.8540238515150074,0.9780849786341234,0.12406112711911599,38,38,0.0,0.0005397656250000216,0.0016920700000000177,0.0558970791015625,0.0,1.0,0.22161776949490455
dlllist.avg_dlls_per_proc,46876,256,0.0,1.0,13330,256,228,-28,0,28,0.05638279716699377,0.01926358904343374,-0.03711920812356003,0.03711920812356003,2643,903,0.8739204878109192,0.976693931804498,0.1027734439935788,28,28,0.0,7.502499999999246e-05,0.0025329561406250214,0.013587332890625026,0.0,1.0,0.295772083702634
handles.nhandles,46876,256,0.0,1.0,7189,256,256,0,0,0,0.027519412919191057,0.004970560628039935,-0.022548852291151122,0.022548852291151122,1290,233,0.9131345935234494,0.9997114095516285,0.08657681602817913,0,0,0.0,0.0004173600000000055,0.0019476999999999967,0.023665174921875032,0.0,1.0,0.4595058978463672
handles.avg_handles_per_proc,46876,256,0.0,1.0,29752,256,256,0,0,0,0.02389282361976278,0.004693233211024831,-0.01919959040873795,0.01919959040873795,1120,220,0.9542662564354166,0.9998171762718263,0.04555091983640969,0,0,0.0,0.0005041899999999877,0.00524706612109375,0.006154643750000077,0.0,1.0,0.4833085043594194
handles.nport,46876,256,0.0,0.0,1,1,1,0,255,255,1.0,1.0,0.0,0.0,46876,46876,0.0,0.0,0.0,255,255,0.0,1.0,1.0,1.0,0.0,0.0,0.0
handles.nfile,46876,256,0.0,1.0,1093,256,202,-54,0,54,0.05576414369826777,0.016660977899138153,-0.03910316579912962,0.03910316579912962,2614,781,0.8020510824974083,0.9829528349971358,0.1809017524997275,53,53,0.0,5.365664062495501e-05,0.0009158000000000222,0.15211127773437494,0.0,1.0,0.1423090742454386
handles.nevent,46876,256,0.0,1.0,3322,256,256,0,0,0,0.04119378786585886,0.005930540148476832,-0.035263247717382026,0.035263247717382026,1931,278,0.872932210766094,0.9979436037773924,0.1250113930112985,0,0,0.0,0.0003010800000000091,0.0015055649999999865,0.0397788208593749,0.0,1.0,0.36427018119661714
handles.ndesktop,46876,256,0.0,1.0,60,60,35,-25,196,221,0.16539380493216144,0.16539380493216144,0.0,0.0,7753,7753,0.6624280875401419,0.7552409503173001,0.09281286277715817,220,220,0.0,0.0011405109375000055,0.007299270000000005,0.6642335699999999,0.0,1.0,0.004853581647031903
handles.nkey,46876,256,0.0,1.0,1060,256,180,-76,0,76,0.050985578974315215,0.026687430668145745,-0.02429814830616947,0.02429814830616947,2390,1251,0.8102823917616279,0.9643689561997563,0.1540865644381284,76,76,0.0,0.0009442400000000406,0.0018885800000000286,0.13031159999999997,0.0,1.0,0.1365583344924817
handles.nthread,46876,256,0.0,1.0,1149,256,249,-7,0,7,0.026196774468811333,0.007146514207696903,-0.019050260261114428,0.019050260261114428,1228,335,0.8831863825413403,0.9949637480961594,0.1117773655548191,7,7,0.0,0.0008710299999999949,0.0017421699999999873,0.07936017382812499,0.0,1.0,0.23045343128583473
handles.ndirectory,46876,256,0.0,1.0,104,104,51,-53,152,205,0.09985920300366925,0.09985920300366925,0.0,0.0,4681,4681,0.7041268139226854,0.8178286074557094,0.11370179353302401,205,205,0.0,0.003952559999999994,0.003952570000000016,0.65612647,0.0,1.0,0.012633304884442522
handles.nsemaphore,46876,256,0.0,1.0,624,256,149,-107,0,107,0.049385613106920384,0.038228517791620446,-0.011157095315299938,0.011157095315299938,2315,1792,0.8098282926802326,0.9456365914264541,0.13580829874622147,107,107,0.0,0.0016050900000000867,0.003210270000000015,0.08346706999999998,0.0,1.0,0.09626986058347016
handles.ntimer,46876,256,0.0,1.0,123,123,56,-67,133,200,0.08565150610120317,0.08618482805700145,0.0005333219557982771,-0.0005333219557982771,4015,4040,0.7453838702633432,0.8714258437241988,0.12604197346085566,200,200,0.0,0.006535900000000039,0.00653595000000004,0.32026140000000003,0.0,1.0,0.012861104366811824
handles.nsection,46876,256,0.0,1.0,612,256,152,-104,0,104,0.0800409591262053,0.0445857155047359,-0.03545524362146941,0.03545524362146941,3752,2090,0.7814027773755245,0.9394077136835554,0.1580049363080308,102,102,0.0,0.00014704546874999558,0.002454999999999985,0.10965630000000004,0.0,1.0,0.09662854782627224
handles.nmutant,46876,256,0.0,1.0,405,256,152,-104,0,104,0.0551668231077737,0.0551668231077737,0.0,0.0,2586,2586,0.8348548076215733,0.9400007590801053,0.105145951458532,104,104,0.0,0.0024751999999998997,0.0024752700000000294,0.13118810000000003,0.0,1.0,0.07728234178313503
ldrmodules.not_in_load,46876,256,0.0,1.0,145,145,73,-72,111,183,0.07080382285177916,0.07080382285177916,0.0,0.0,3319,3319,0.7895089801002002,0.8983516887781148,0.10884270867791457,183,183,0.0,0.004310329999999973,0.004310340000000024,0.5129310499999999,0.0,1.0,0.015822574740434036
ldrmodules.not_in_init,46876,256,0.0,1.0,180,180,83,-97,76,173,0.05107091048724294,0.05107091048724294,0.0,0.0,2394,2394,0.8092464216563752,0.9284897017334618,0.11924328007708662,172,172,0.0,0.0007780740625000226,0.00406504000000002,0.33333330000000005,0.0,1.0,0.025018946919815134
ldrmodules.not_in_mem,46876,256,0.0,1.0,145,145,73,-72,111,183,0.07059049406945986,0.07059049406945986,0.0,0.0,3309,3309,0.789586786756279,0.8984419408865438,0.10885515413026481,183,183,0.0,0.004310329999999973,0.004310340000000024,0.5129310499999999,0.0,1.0,0.015822574740434036
ldrmodules.not_in_load_avg,46876,256,0.0,1.0,15444,256,243,-13,0,13,0.021994197457120914,0.020799556276132777,-0.0011946411809881374,0.0011946411809881374,1031,975,0.9337241875261927,0.9845926555276834,0.050868468001490696,13,13,0.0,0.00019426000000000165,0.002978690000000006,0.011597846171875092,0.0,1.0,0.36179380492927116
ldrmodules.not_in_init_avg,46876,256,0.0,1.0,15577,256,241,-15,0,15,0.0277540745797423,0.019434252069289188,-0.008319822510453111,0.008319822510453111,1301,911,0.9499180493583633,0.9859548183865425,0.036036769028179205,15,15,0.0,0.00012840000000000074,0.003235138124999981,0.011113573281249955,0.0,1.0,0.3583830662751156
